,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_category,rental_term,host_type
180,Milbertshofen-Am Hart,48.1777,11.58381,Entire home/apt,120.0,7,0,4,357,0,Middle price,Long term,Commercial host
181,Maxvorstadt,48.14986,11.57504,Private room,50.0,2,535,1,68,19,Low price,Short term,Private host
182,Pasing-Obermenzing,48.16464,11.47967,Entire home/apt,179.0,2,43,1,357,2,Middle price,Long term,Private host
183,Obergiesing,48.117,11.58074,Entire home/apt,220.0,2,169,1,124,0,High price,Medium term,Private host
184,Ramersdorf-Perlach,48.08697,11.67521,Entire home/apt,44.0,2,115,4,149,0,Low price,Medium term,Commercial host
185,Altstadt-Lehel,48.13811,11.58574,Entire home/apt,189.0,5,20,1,0,0,Middle price,Short term,Private host
186,Sendling,48.10807,11.53767,Private room,35.0,1,765,1,323,46,Low price,Long term,Private host
187,Milbertshofen-Am Hart,48.18279,11.57278,Entire home/apt,119.0,4,84,1,333,6,Middle price,Long term,Private host
188,Schwabing-West,48.16045,11.55943,Private room,35.0,1,363,1,0,0,Low price,Short term,Private host
189,Sendling,48.11032,11.53788,Private room,54.0,2,2,1,363,0,Low price,Long term,Private host
190,Schwabing-Freimann,48.16121,11.58109,Private room,55.0,2,26,2,332,0,Low price,Long term,Commercial host
191,Maxvorstadt,48.14072,11.55912,Entire home/apt,120.0,5,51,1,90,0,Middle price,Short term,Private host
192,Ludwigsvorstadt-Isarvorstadt,48.12444,11.55483,Entire home/apt,450.0,2,0,1,365,0,High price,Long term,Private host
193,Schwanthalerhöhe,48.13657,11.5436,Entire home/apt,125.0,4,25,1,106,0,Middle price,Medium term,Private host
194,Schwabing-West,48.16211,11.57667,Private room,78.0,2,23,1,364,0,Low price,Long term,Private host
195,Obergiesing,48.09994,11.58685,Private room,35.0,22,29,2,0,1,Low price,Short term,Commercial host
196,Moosach,48.18009,11.52272,Entire home/apt,280.0,5,0,1,178,0,High price,Medium term,Private host
197,Ludwigsvorstadt-Isarvorstadt,48.12709,11.57052,Entire home/apt,100.0,3,13,1,12,1,Middle price,Short term,Private host
198,Ludwigsvorstadt-Isarvorstadt,48.13059,11.5744,Entire home/apt,100.0,5,4,1,72,0,Middle price,Short term,Private host
199,Maxvorstadt,48.14321,11.55895,Entire home/apt,44.0,2,569,4,50,32,Low price,Short term,Commercial host
200,Au-Haidhausen,48.12553,11.57616,Entire home/apt,90.0,5,8,1,0,0,Middle price,Short term,Private host
201,Sendling-Westpark,48.10476,11.53142,Entire home/apt,119.0,1,73,3,321,14,Middle price,Long term,Commercial host
202,Schwabing-West,48.16568,11.57247,Entire home/apt,69.0,90,39,2,303,0,Low price,Long term,Commercial host
203,Ramersdorf-Perlach,48.10931,11.64423,Private room,35.0,100,158,1,365,0,Low price,Long term,Private host
204,Obergiesing,48.11576,11.58076,Entire home/apt,51.0,2,186,2,249,20,Low price,Long term,Commercial host
205,Au-Haidhausen,48.12828,11.60084,Entire home/apt,70.0,3,52,1,0,2,Low price,Short term,Private host
206,Maxvorstadt,48.15396,11.57532,Entire home/apt,191.0,2,192,1,111,0,Middle price,Medium term,Private host
207,Feldmoching-Hasenbergl,48.21767,11.54281,Private room,45.0,1,11,4,365,0,Low price,Long term,Commercial host
208,Au-Haidhausen,48.13336,11.60337,Entire home/apt,85.0,3,127,1,269,13,Middle price,Long term,Private host
209,Au-Haidhausen,48.1279,11.60257,Private room,59.0,2,79,1,76,1,Low price,Short term,Private host
210,Schwabing-Freimann,48.17485,11.60873,Entire home/apt,55.0,30,3,3,327,0,Low price,Long term,Commercial host
211,Laim,48.12815,11.50612,Entire home/apt,55.0,21,129,1,44,1,Low price,Short term,Private host
212,Milbertshofen-Am Hart,48.18236,11.57986,Entire home/apt,105.0,14,14,1,165,0,Middle price,Medium term,Private host
213,Tudering-Riem,48.11508,11.68651,Private room,52.0,1,63,1,355,2,Low price,Long term,Private host
214,Berg am Laim,48.124,11.61609,Private room,71.0,1,0,1,365,0,Low price,Long term,Private host
215,Schwabing-West,48.17526,11.58072,Entire home/apt,199.0,3,52,1,29,0,Middle price,Short term,Private host
216,Pasing-Obermenzing,48.1597,11.45158,Private room,37.0,1,35,3,268,2,Low price,Long term,Commercial host
217,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09456,11.53853,Entire home/apt,240.0,5,5,1,314,0,High price,Long term,Private host
