,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_category,rental_term,host_type
4585,Bogenhausen,48.16691,11.65628,Private room,60.0,4,0,2,0,0,Low price,Short term,Commercial host
4586,Tudering-Riem,48.12281,11.65473,Private room,59.0,1,0,1,0,0,Low price,Short term,Private host
4587,Sendling,48.1249,11.54444,Entire home/apt,31.0,25,1,1,35,1,Low price,Short term,Private host
4588,Maxvorstadt,48.15077,11.55775,Entire home/apt,90.0,3,2,1,0,2,Middle price,Short term,Private host
4589,Ramersdorf-Perlach,48.10202,11.62444,Entire home/apt,199.0,1,1,1,89,1,Middle price,Short term,Private host
4590,Ludwigsvorstadt-Isarvorstadt,48.13173,11.57639,Private room,97.0,2,2,2,0,2,Middle price,Short term,Commercial host
4591,Pasing-Obermenzing,48.14141,11.46586,Private room,69.0,5,0,1,0,0,Low price,Short term,Private host
4592,Neuhausen-Nymphenburg,48.1467,11.53436,Entire home/apt,77.0,2,0,1,359,0,Low price,Long term,Private host
4593,Maxvorstadt,48.14411,11.5625,Entire home/apt,119.0,2,6,6,100,6,Middle price,Medium term,Commercial host
4594,Hadern,48.1087,11.47615,Private room,80.0,124,0,1,0,0,Middle price,Short term,Private host
4595,Schwabing-Freimann,48.17451,11.58434,Entire home/apt,110.0,60,0,1,325,0,Middle price,Long term,Private host
4596,Sendling-Westpark,48.11778,11.53048,Entire home/apt,129.0,3,0,1,0,0,Middle price,Short term,Private host
4597,Schwabing-Freimann,48.16279,11.58502,Entire home/apt,70.0,4,1,1,0,1,Low price,Short term,Private host
4598,Neuhausen-Nymphenburg,48.14347,11.53846,Entire home/apt,174.0,7,0,1,87,0,Middle price,Short term,Private host
4599,Neuhausen-Nymphenburg,48.15147,11.5302,Entire home/apt,80.0,2,7,1,0,7,Middle price,Short term,Private host
4600,Au-Haidhausen,48.125,11.57782,Entire home/apt,110.0,3,3,1,0,3,Middle price,Short term,Private host
4601,Neuhausen-Nymphenburg,48.15228,11.51146,Entire home/apt,66.0,4,1,1,1,1,Low price,Short term,Private host
4602,Maxvorstadt,48.1462,11.58158,Entire home/apt,75.0,1,5,1,104,5,Low price,Medium term,Private host
4603,Obergiesing,48.11719,11.57993,Entire home/apt,111.0,3,4,1,0,4,Middle price,Short term,Private host
4604,Bogenhausen,48.14472,11.60182,Entire home/apt,149.0,2,2,1,0,2,Middle price,Short term,Private host
4605,Ludwigsvorstadt-Isarvorstadt,48.13157991364629,11.56699145163173,Entire home/apt,65.0,1,0,1,83,0,Low price,Short term,Private host
4606,Au-Haidhausen,48.13159,11.59749,Entire home/apt,70.0,2,6,1,0,6,Low price,Short term,Private host
4607,Bogenhausen,48.14042,11.61372,Entire home/apt,80.0,2,0,1,53,0,Middle price,Short term,Private host
4608,Altstadt-Lehel,48.14033,11.59364,Entire home/apt,89.0,3,5,1,0,5,Middle price,Short term,Private host
4609,Neuhausen-Nymphenburg,48.14829,11.53523,Shared room,55.0,1,3,3,0,3,Low price,Short term,Commercial host
4610,Ramersdorf-Perlach,48.11092,11.63344,Entire home/apt,160.0,1,0,1,357,0,Middle price,Long term,Private host
4611,Milbertshofen-Am Hart,48.20241,11.57366,Private room,42.0,2,1,2,347,1,Low price,Long term,Commercial host
4612,Sendling-Westpark,48.11893,11.52434,Entire home/apt,89.0,28,0,26,265,0,Middle price,Long term,Commercial host
4613,Moosach,48.17843,11.52372,Private room,70.0,3,0,1,29,0,Low price,Short term,Private host
4614,Schwabing-Freimann,48.18601,11.59203,Entire home/apt,59.0,12,0,1,2,0,Low price,Short term,Private host
4615,Altstadt-Lehel,48.13753,11.59148,Entire home/apt,200.0,2,3,1,78,3,High price,Short term,Private host
4616,Sendling-Westpark,48.11146,11.53591,Private room,53.0,2,6,1,90,6,Low price,Short term,Private host
4617,Sendling-Westpark,48.12556,11.50305,Private room,64.0,1,0,1,365,0,Low price,Long term,Private host
4618,Schwabing-Freimann,48.19292,11.61477,Entire home/apt,30.0,90,0,3,272,0,Low price,Long term,Commercial host
4619,Allach-Untermenzing,48.18926,11.46611,Entire home/apt,57.0,58,1,1,52,1,Low price,Short term,Private host
4620,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08762,11.47794,Entire home/apt,50.0,1,0,1,176,0,Low price,Medium term,Private host
4621,Milbertshofen-Am Hart,48.18251,11.57522,Entire home/apt,69.0,2,5,1,6,5,Low price,Short term,Private host
4622,Altstadt-Lehel,48.13661,11.58714,Entire home/apt,99.0,3,2,1,38,2,Middle price,Short term,Private host
4623,Ramersdorf-Perlach,48.0983,11.64688,Entire home/apt,96.0,4,0,1,0,0,Middle price,Short term,Private host
4624,Laim,48.13266,11.49637,Entire home/apt,106.0,5,8,1,32,8,Middle price,Short term,Private host
4625,Ramersdorf-Perlach,48.10976,11.63614,Entire home/apt,9.0,100,0,1,365,0,Low price,Long term,Private host
4626,Maxvorstadt,48.149384,11.576812,Entire home/apt,78.0,2,7,1,9,7,Low price,Short term,Private host
4627,Schwabing-West,48.15885,11.56529,Entire home/apt,75.0,5,2,1,35,2,Low price,Short term,Private host
4628,Obergiesing,48.09265,11.60383,Entire home/apt,70.0,3,3,1,0,3,Low price,Short term,Private host
4629,Schwabing-Freimann,48.20791,11.62593,Entire home/apt,45.0,4,2,1,10,2,Low price,Short term,Private host
4630,Laim,48.14235,11.51916,Private room,40.0,30,0,1,343,0,Low price,Long term,Private host
4631,Ramersdorf-Perlach,48.0957,11.65329,Private room,40.0,1,3,1,29,3,Low price,Short term,Private host
4632,Altstadt-Lehel,48.135139,11.567562,Private room,299.0,5,0,4,284,0,High price,Long term,Commercial host
4633,Schwabing-Freimann,48.17389,11.58665,Entire home/apt,42.0,7,1,1,268,1,Low price,Long term,Private host
4634,Schwabing-Freimann,48.19205,11.62192,Entire home/apt,100.0,2,4,2,6,4,Middle price,Short term,Commercial host
4635,Au-Haidhausen,48.12607,11.59025,Shared room,25.0,1,0,1,198,0,Low price,Long term,Private host
4636,Schwabing-West,48.17557,11.56749,Entire home/apt,80.0,7,3,1,25,3,Middle price,Short term,Private host
4637,Schwanthalerhöhe,48.13489,11.53739,Entire home/apt,321.0,12,0,1,360,0,High price,Long term,Private host
4638,Maxvorstadt,48.14764,11.54885,Entire home/apt,208.0,1,15,4,293,15,High price,Long term,Commercial host
4639,Maxvorstadt,48.15262,11.55227,Entire home/apt,185.0,2,0,1,268,0,Middle price,Long term,Private host
4640,Schwabing-Freimann,48.16429,11.58736,Entire home/apt,52.0,1,1,2,33,1,Low price,Short term,Commercial host
4641,Altstadt-Lehel,48.13414,11.56675,Private room,106.0,1,1,4,192,1,Middle price,Long term,Commercial host
4642,Altstadt-Lehel,48.13452,11.56672,Private room,133.0,1,0,4,108,0,Middle price,Medium term,Commercial host
4643,Altstadt-Lehel,48.13615,11.56813,Private room,295.0,1,1,4,108,1,High price,Medium term,Commercial host
4644,Tudering-Riem,48.13181,11.69779,Private room,40.0,1,0,3,235,0,Low price,Long term,Commercial host
4645,Ludwigsvorstadt-Isarvorstadt,48.13747,11.55457,Entire home/apt,146.0,1,0,6,354,0,Middle price,Long term,Commercial host
4646,Bogenhausen,48.142555,11.616482,Entire home/apt,90.0,150,0,1,342,0,Middle price,Long term,Private host
4647,Sendling,48.12573,11.54048,Entire home/apt,79.0,3,2,1,89,2,Low price,Short term,Private host
4648,Tudering-Riem,48.13255,11.69632,Private room,60.0,1,0,3,233,0,Low price,Long term,Commercial host
4649,Feldmoching-Hasenbergl,48.21665,11.53348,Entire home/apt,139.0,2,0,1,335,0,Middle price,Long term,Private host
4650,Aubing-Lochhausen-Langwied,48.14356,11.42395,Private room,38.0,1,6,6,348,6,Low price,Long term,Commercial host
4651,Neuhausen-Nymphenburg,48.16076,11.54072,Entire home/apt,140.0,2,1,1,0,1,Middle price,Short term,Private host
4652,Schwanthalerhöhe,48.14048,11.53767,Private room,45.0,5,2,1,110,2,Low price,Medium term,Private host
4653,Altstadt-Lehel,48.13491,11.57871,Entire home/apt,396.0,1,4,2,143,4,High price,Medium term,Commercial host
4654,Ramersdorf-Perlach,48.10278,11.62186,Private room,36.0,2,0,2,344,0,Low price,Long term,Commercial host
4655,Maxvorstadt,48.15668,11.5682,Entire home/apt,129.0,7,1,2,163,1,Middle price,Medium term,Commercial host
4656,Altstadt-Lehel,48.13523,11.56826,Private room,113.0,1,0,5,227,0,Middle price,Long term,Commercial host
4657,Altstadt-Lehel,48.13636,11.56825,Private room,118.0,1,0,5,217,0,Middle price,Long term,Commercial host
4658,Altstadt-Lehel,48.13665,11.5667,Private room,146.0,1,0,5,210,0,Middle price,Long term,Commercial host
4659,Altstadt-Lehel,48.13656,11.56681,Private room,156.0,1,0,5,216,0,Middle price,Long term,Commercial host
4660,Altstadt-Lehel,48.13669,11.56801,Private room,205.0,1,0,5,0,0,High price,Short term,Commercial host
4661,Ludwigsvorstadt-Isarvorstadt,48.13464,11.56005,Private room,140.0,2,4,1,299,4,Middle price,Long term,Private host
4662,Sendling,48.12559,11.54551,Entire home/apt,75.0,89,0,4,267,0,Low price,Long term,Commercial host
4663,Schwabing-West,48.16932,11.57971,Entire home/apt,90.0,30,0,1,0,0,Middle price,Short term,Private host
4664,Schwabing-West,48.16234,11.56502,Entire home/apt,85.0,3,2,1,0,2,Middle price,Short term,Private host
4665,Schwabing-Freimann,48.1917,11.61798,Private room,53.0,2,6,2,9,6,Low price,Short term,Commercial host
4666,Schwabing-West,48.17209,11.56276,Entire home/apt,99.0,1,0,1,345,0,Middle price,Long term,Private host
4667,Schwabing-West,48.16711,11.5587,Entire home/apt,53.0,3,1,1,4,1,Low price,Short term,Private host
4668,Schwabing-West,48.16127,11.5716,Entire home/apt,146.0,2,4,2,0,4,Middle price,Short term,Commercial host
4669,Schwabing-West,48.16123,11.57066,Private room,49.0,1,0,2,0,0,Low price,Short term,Commercial host
4670,Schwabing-Freimann,48.15852,11.58714,Private room,87.0,1,0,1,363,0,Middle price,Long term,Private host
4671,Maxvorstadt,48.14282,11.56032,Private room,80.0,2,0,1,178,0,Middle price,Medium term,Private host
4672,Laim,48.13482,11.50091,Private room,250.0,1,0,1,365,0,High price,Long term,Private host
4673,Schwabing-Freimann,48.167229,11.58787,Entire home/apt,90.0,1,5,1,39,5,Middle price,Short term,Private host
4674,Ludwigsvorstadt-Isarvorstadt,48.12917,11.57517,Entire home/apt,85.0,2,1,1,21,1,Middle price,Short term,Private host
4675,Pasing-Obermenzing,48.13483,11.45266,Entire home/apt,100.0,1,2,1,86,2,Middle price,Short term,Private host
4676,Tudering-Riem,48.14172,11.67573,Private room,59.0,21,0,1,357,0,Low price,Long term,Private host
4677,Ludwigsvorstadt-Isarvorstadt,48.12746,11.55338,Entire home/apt,82.0,1,7,1,6,7,Middle price,Short term,Private host
4678,Neuhausen-Nymphenburg,48.14721,11.53065,Entire home/apt,80.0,5,2,2,0,2,Middle price,Short term,Commercial host
4679,Moosach,48.18331819716223,11.521169686090502,Private room,23.0,1,0,1,213,0,Low price,Long term,Private host
4680,Moosach,48.18638,11.51993,Entire home/apt,150.0,5,0,1,349,0,Middle price,Long term,Private host
4681,Bogenhausen,48.14071,11.60106,Entire home/apt,140.0,2,6,1,82,6,Middle price,Short term,Private host
4682,Neuhausen-Nymphenburg,48.15651,11.52228,Entire home/apt,110.0,3,0,1,269,0,Middle price,Long term,Private host
4683,Maxvorstadt,48.15628,11.56358,Private room,65.0,2,2,1,180,2,Low price,Medium term,Private host
4684,Neuhausen-Nymphenburg,48.15275,11.51137,Entire home/apt,100.0,7,0,1,15,0,Middle price,Short term,Private host
4685,Au-Haidhausen,48.12786,11.58698,Private room,41.0,1,6,1,85,6,Low price,Short term,Private host
4686,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09945,11.49743,Entire home/apt,200.0,3,0,1,180,0,High price,Medium term,Private host
4687,Sendling,48.12093,11.54927,Private room,39.0,1,1,1,45,1,Low price,Short term,Private host
4688,Sendling,48.11594,11.54972,Private room,29.0,30,0,1,316,0,Low price,Long term,Private host
4689,Maxvorstadt,48.15059,11.5758,Entire home/apt,58.0,25,0,1,34,0,Low price,Short term,Private host
4690,Neuhausen-Nymphenburg,48.16267,11.54456,Private room,42.0,1,0,1,90,0,Low price,Short term,Private host
4691,Sendling-Westpark,48.11767,11.51335,Private room,42.0,2,7,2,54,7,Low price,Short term,Commercial host
4692,Obergiesing,48.10282,11.5971,Entire home/apt,56.0,8,0,1,1,0,Low price,Short term,Private host
4693,Altstadt-Lehel,48.13748,11.58167,Entire home/apt,70.0,3,2,1,0,2,Low price,Short term,Private host
4694,Maxvorstadt,48.15449,11.5644,Entire home/apt,145.0,2,6,1,38,6,Middle price,Short term,Private host
4695,Untergiesing-Harlaching,48.11358,11.56704,Entire home/apt,140.0,3,0,1,350,0,Middle price,Long term,Private host
4696,Berg am Laim,48.11963,11.6343,Private room,50.0,2,3,1,170,3,Low price,Medium term,Private host
4697,Laim,48.13498,11.49084,Private room,75.0,1,0,1,365,0,Low price,Long term,Private host
4698,Bogenhausen,48.16052,11.64609,Entire home/apt,75.0,4,1,1,256,1,Low price,Long term,Private host
4699,Neuhausen-Nymphenburg,48.14558,11.52851,Entire home/apt,119.0,5,0,1,180,0,Middle price,Medium term,Private host
4700,Laim,48.12648,11.50944,Entire home/apt,55.0,120,0,1,238,0,Low price,Long term,Private host
4701,Neuhausen-Nymphenburg,48.15537,11.53771,Entire home/apt,163.0,3,1,1,160,1,Middle price,Medium term,Private host
4702,Schwabing-West,48.15959,11.56775,Entire home/apt,75.0,4,0,1,0,0,Low price,Short term,Private host
4703,Moosach,48.18706,11.52355,Private room,40.0,3,1,1,306,1,Low price,Long term,Private host
4704,Sendling-Westpark,48.11763,11.52409,Entire home/apt,89.0,28,0,26,89,0,Middle price,Short term,Commercial host
4705,Pasing-Obermenzing,48.15189,11.47965,Entire home/apt,70.0,6,3,1,354,3,Low price,Long term,Private host
4706,Ramersdorf-Perlach,48.09198,11.63124,Entire home/apt,70.0,1,1,1,362,1,Low price,Long term,Private host
4707,Sendling,48.12083,11.54322,Entire home/apt,89.0,2,1,1,8,1,Middle price,Short term,Private host
4708,Ludwigsvorstadt-Isarvorstadt,48.12674,11.57372,Private room,78.0,2,7,1,5,7,Low price,Short term,Private host
4709,Ludwigsvorstadt-Isarvorstadt,48.1237,11.56578,Entire home/apt,67.0,7,0,5,98,0,Low price,Medium term,Commercial host
4710,Ludwigsvorstadt-Isarvorstadt,48.12317,11.56402,Entire home/apt,72.0,7,2,5,98,2,Low price,Medium term,Commercial host
4711,Au-Haidhausen,48.1322,11.60687,Entire home/apt,121.0,1,11,11,206,11,Middle price,Long term,Commercial host
4712,Untergiesing-Harlaching,48.11143,11.57165,Private room,48.0,1,11,1,82,11,Low price,Short term,Private host
4713,Schwabing-West,48.16237,11.57262,Private room,42.0,3,0,1,307,0,Low price,Long term,Private host
4714,Maxvorstadt,48.14699,11.57638,Entire home/apt,195.0,7,0,1,114,0,Middle price,Medium term,Private host
4715,Berg am Laim,48.13,11.61098,Entire home/apt,90.0,2,0,1,16,0,Middle price,Short term,Private host
4716,Altstadt-Lehel,48.13635,11.5802,Entire home/apt,90.0,365,0,1,365,0,Middle price,Long term,Private host
4717,Sendling-Westpark,48.13592,11.52545,Entire home/apt,52.0,10,0,1,80,0,Low price,Short term,Private host
4718,Ludwigsvorstadt-Isarvorstadt,48.12548,11.56846,Entire home/apt,130.0,1,5,1,362,5,Middle price,Long term,Private host
4719,Berg am Laim,48.126102,11.654006,Private room,60.0,2,1,1,73,1,Low price,Short term,Private host
4720,Feldmoching-Hasenbergl,48.21361,11.56117,Entire home/apt,60.0,5,0,1,24,0,Low price,Short term,Private host
4721,Laim,48.14031,11.51119,Entire home/apt,72.0,2,0,1,362,0,Low price,Long term,Private host
4722,Schwabing-West,48.15691,11.57182,Private room,65.0,1,2,3,157,2,Low price,Medium term,Commercial host
4723,Obergiesing,48.11599,11.5908,Entire home/apt,89.0,4,0,1,8,0,Middle price,Short term,Private host
4724,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08732,11.48351,Entire home/apt,45.0,4,3,1,3,3,Low price,Short term,Private host
4725,Bogenhausen,48.1424,11.61393,Private room,61.0,1,1,1,363,1,Low price,Long term,Private host
4726,Schwabing-Freimann,48.16342,11.59009,Entire home/apt,63.0,2,1,2,342,1,Low price,Long term,Commercial host
4727,Schwabing-West,48.15842,11.57166,Private room,50.0,3,2,2,65,2,Low price,Short term,Commercial host
4728,Altstadt-Lehel,48.14592,11.59401,Entire home/apt,120.0,7,0,1,25,0,Middle price,Short term,Private host
4729,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09649,11.49486,Entire home/apt,50.0,1,2,2,112,2,Low price,Medium term,Commercial host
4730,Sendling-Westpark,48.11499,11.50292,Private room,35.0,3,4,1,14,4,Low price,Short term,Private host
4731,Altstadt-Lehel,48.14111,11.59113,Entire home/apt,120.0,12,1,1,0,1,Middle price,Short term,Private host
4732,Bogenhausen,48.151157,11.618442,Entire home/apt,69.0,7,4,1,181,4,Low price,Long term,Private host
4733,Moosach,48.18249,11.52584,Private room,45.0,150,0,2,115,0,Low price,Medium term,Commercial host
4734,Maxvorstadt,48.14792,11.55286,Private room,40.0,2,0,1,70,0,Low price,Short term,Private host
4735,Milbertshofen-Am Hart,48.17775,11.58398,Entire home/apt,89.0,2,1,1,0,1,Middle price,Short term,Private host
4736,Hadern,48.11949024763389,11.471657176122733,Entire home/apt,55.0,90,0,1,358,0,Low price,Long term,Private host
4737,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.098888,11.497075,Private room,25.0,1,8,1,0,8,Low price,Short term,Private host
4738,Sendling,48.11972,11.54136,Entire home/apt,57.0,30,0,1,243,0,Low price,Long term,Private host
4739,Hadern,48.1139,11.49316,Entire home/apt,60.0,150,0,1,217,0,Low price,Long term,Private host
4740,Schwabing-West,48.15786,11.56932,Entire home/apt,210.0,2,0,1,247,0,High price,Long term,Private host
4741,Ramersdorf-Perlach,48.11884,11.60071,Entire home/apt,100.0,14,0,1,185,0,Middle price,Long term,Private host
4742,Schwabing-West,48.15738,11.57016,Entire home/apt,600.0,7,0,1,16,0,High price,Short term,Private host
4743,Schwabing-West,48.17007,11.56383,Private room,51.0,10,0,1,25,0,Low price,Short term,Private host
4744,Ludwigsvorstadt-Isarvorstadt,48.12621,11.56522,Private room,47.0,3,2,2,31,2,Low price,Short term,Commercial host
4745,Schwabing-West,48.15858,11.57752,Entire home/apt,94.0,2,2,1,5,2,Middle price,Short term,Private host
4746,Au-Haidhausen,48.12322,11.58171,Entire home/apt,84.0,3,1,2,358,1,Middle price,Long term,Commercial host
4747,Schwabing-West,48.16589,11.56197,Entire home/apt,50.0,80,0,1,268,0,Low price,Long term,Private host
4748,Obergiesing,48.11702,11.57975,Entire home/apt,90.0,2,3,2,0,3,Middle price,Short term,Commercial host
4749,Schwabing-West,48.16167,11.56381,Entire home/apt,111.0,10,0,1,22,0,Middle price,Short term,Private host
4750,Milbertshofen-Am Hart,48.17959,11.57541,Entire home/apt,97.0,1,0,1,16,0,Middle price,Short term,Private host
4751,Au-Haidhausen,48.12496,11.5874,Entire home/apt,107.0,14,0,1,1,0,Middle price,Short term,Private host
4752,Moosach,48.17814,11.53386,Entire home/apt,81.0,1,0,7,358,0,Middle price,Long term,Commercial host
4753,Moosach,48.1775,11.53246,Entire home/apt,67.0,1,0,7,358,0,Low price,Long term,Commercial host
4754,Moosach,48.1793,11.53199,Entire home/apt,132.0,1,0,7,358,0,Middle price,Long term,Commercial host
4755,Moosach,48.17946,11.49992,Entire home/apt,109.0,1,0,7,358,0,Middle price,Long term,Commercial host
4756,Moosach,48.18126,11.50161,Entire home/apt,89.0,1,0,7,358,0,Middle price,Long term,Commercial host
4757,Moosach,48.17922,11.50075,Entire home/apt,67.0,1,0,7,358,0,Low price,Long term,Commercial host
4758,Moosach,48.18089,11.50195,Entire home/apt,132.0,1,0,7,358,0,Middle price,Long term,Commercial host
4759,Maxvorstadt,48.15586795555216,11.564711636798643,Entire home/apt,149.0,4,0,1,46,0,Middle price,Short term,Private host
4760,Au-Haidhausen,48.12384,11.5939,Entire home/apt,90.0,3,3,1,179,3,Middle price,Medium term,Private host
4761,Neuhausen-Nymphenburg,48.15796,11.54916,Private room,64.0,7,0,1,180,0,Low price,Medium term,Private host
4762,Aubing-Lochhausen-Langwied,48.14127,11.42105,Entire home/apt,50.0,15,0,1,1,0,Low price,Short term,Private host
4763,Bogenhausen,48.17125,11.62679,Entire home/apt,120.0,5,0,1,0,0,Middle price,Short term,Private host
4764,Altstadt-Lehel,48.13485,11.57512,Entire home/apt,65.0,40,1,1,0,1,Low price,Short term,Private host
4765,Maxvorstadt,48.14933,11.55424,Entire home/apt,51.0,1,1,1,0,1,Low price,Short term,Private host
4766,Altstadt-Lehel,48.14572,11.59459,Entire home/apt,75.0,5,0,1,31,0,Low price,Short term,Private host
4767,Ramersdorf-Perlach,48.10722,11.60909,Entire home/apt,80.0,4,0,1,144,0,Middle price,Medium term,Private host
4768,Au-Haidhausen,48.13124065089422,11.60268921538777,Private room,42.0,1,1,1,74,1,Low price,Short term,Private host
4769,Maxvorstadt,48.15264161688018,11.562002873198802,Entire home/apt,80.0,3,0,2,6,0,Middle price,Short term,Commercial host
4770,Tudering-Riem,48.1127,11.67976,Private room,30.0,1,3,1,74,3,Low price,Short term,Private host
4771,Schwanthalerhöhe,48.13778,11.53632,Entire home/apt,70.0,1,1,1,88,1,Low price,Short term,Private host
4772,Au-Haidhausen,48.12247,11.58684,Entire home/apt,88.0,2,0,1,11,0,Middle price,Short term,Private host
4773,Sendling-Westpark,48.10889,11.51333,Entire home/apt,19.0,7,0,1,0,0,Low price,Short term,Private host
4774,Altstadt-Lehel,48.13218,11.57282,Entire home/apt,100.0,4,0,1,87,0,Middle price,Short term,Private host
4775,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08137,11.50213,Entire home/apt,55.0,1,0,1,348,0,Low price,Long term,Private host
4776,Altstadt-Lehel,48.13561,11.57552,Private room,106.0,2,0,1,362,0,Middle price,Long term,Private host
4777,Bogenhausen,48.16476,11.6292,Entire home/apt,68.0,3,0,2,34,0,Low price,Short term,Commercial host
4778,Ludwigsvorstadt-Isarvorstadt,48.12475,11.55042,Entire home/apt,59.0,3,1,5,81,1,Low price,Short term,Commercial host
4779,Tudering-Riem,48.14246,11.6759,Entire home/apt,55.0,1,11,1,0,11,Low price,Short term,Private host
4780,Maxvorstadt,48.15669,11.56418,Entire home/apt,76.0,3,0,1,52,0,Low price,Short term,Private host
4781,Sendling,48.11824,11.54575,Private room,35.0,1,2,1,322,2,Low price,Long term,Private host
4782,Laim,48.14083,11.51363,Private room,57.0,10,0,1,328,0,Low price,Long term,Private host
4783,Laim,48.13378,11.51721,Entire home/apt,80.0,6,0,1,69,0,Middle price,Short term,Private host
4784,Neuhausen-Nymphenburg,48.15464,11.53844,Entire home/apt,100.0,5,0,1,27,0,Middle price,Short term,Private host
4785,Au-Haidhausen,48.12674,11.58966,Entire home/apt,300.0,10,0,2,298,0,High price,Long term,Commercial host
4786,Schwabing-West,48.15892,11.56585,Entire home/apt,85.0,5,0,1,74,0,Middle price,Short term,Private host
4787,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.094216432666215,11.530109706899674,Entire home/apt,101.0,1,1,1,359,1,Middle price,Long term,Private host
4788,Feldmoching-Hasenbergl,48.19512,11.52374,Entire home/apt,70.0,3,3,1,0,3,Low price,Short term,Private host
4789,Allach-Untermenzing,48.17407,11.47868,Entire home/apt,50.0,30,0,1,365,0,Low price,Long term,Private host
4790,Schwabing-West,48.17477,11.58067,Entire home/apt,70.0,5,0,1,172,0,Low price,Medium term,Private host
4791,Schwabing-West,48.16313,11.56959,Entire home/apt,75.0,4,1,1,29,1,Low price,Short term,Private host
4792,Schwanthalerhöhe,48.13841,11.53125,Private room,120.0,2,1,1,82,1,Middle price,Short term,Private host
4793,Bogenhausen,48.14291,11.6209,Private room,35.0,1,2,1,341,2,Low price,Long term,Private host
4794,Altstadt-Lehel,48.13527,11.57967,Entire home/apt,344.0,1,4,11,245,4,High price,Long term,Commercial host
4795,Schwabing-Freimann,48.15516,11.58528,Private room,85.0,1,3,1,54,3,Middle price,Short term,Private host
4796,Maxvorstadt,48.15632,11.56106,Entire home/apt,73.0,2,1,1,0,1,Low price,Short term,Private host
4797,Maxvorstadt,48.15641,11.56572,Private room,55.0,1,1,3,129,1,Low price,Medium term,Commercial host
4798,Feldmoching-Hasenbergl,48.21086,11.54979,Private room,39.0,4,0,1,45,0,Low price,Short term,Private host
4799,Au-Haidhausen,48.13652,11.60515,Entire home/apt,91.0,1,4,1,144,4,Middle price,Medium term,Private host
4800,Maxvorstadt,48.15398,11.57062,Entire home/apt,95.0,7,0,1,27,0,Middle price,Short term,Private host
4801,Maxvorstadt,48.15028,11.5784,Entire home/apt,53.0,3,0,1,169,0,Low price,Medium term,Private host
4802,Ramersdorf-Perlach,48.10199,11.61867,Entire home/apt,70.0,6,0,1,50,0,Low price,Short term,Private host
4803,Maxvorstadt,48.1539,11.56205,Entire home/apt,130.0,3,0,1,45,0,Middle price,Short term,Private host
4804,Sendling-Westpark,48.1093,11.51458,Private room,35.0,1,2,2,351,2,Low price,Long term,Commercial host
4805,Maxvorstadt,48.15198,11.5529,Private room,59.0,1,1,1,173,1,Low price,Medium term,Private host
4806,Sendling,48.11918274953797,11.547095567788462,Entire home/apt,40.0,30,0,1,268,0,Low price,Long term,Private host
4807,Maxvorstadt,48.14828,11.5526,Private room,50.0,1,0,1,2,0,Low price,Short term,Private host
4808,Schwanthalerhöhe,48.14002,11.52988,Entire home/apt,30.0,15,0,1,91,0,Low price,Medium term,Private host
4809,Pasing-Obermenzing,48.14043,11.44305,Entire home/apt,136.0,1,4,2,18,4,Middle price,Short term,Commercial host
4810,Au-Haidhausen,48.13535,11.59908,Entire home/apt,195.0,30,4,1,1,4,Middle price,Short term,Private host
4811,Bogenhausen,48.1612,11.62975,Entire home/apt,53.0,3,0,1,24,0,Low price,Short term,Private host
4812,Schwabing-West,48.15772,11.57191,Entire home/apt,98.0,1,2,1,171,2,Middle price,Medium term,Private host
4813,Maxvorstadt,48.15277,11.56267,Private room,56.0,2,0,1,178,0,Low price,Medium term,Private host
4814,Schwabing-West,48.15908,11.5746,Entire home/apt,70.0,12,0,1,72,0,Low price,Short term,Private host
4815,Moosach,48.180424,11.510976,Private room,23.0,2,2,1,26,2,Low price,Short term,Private host
4816,Au-Haidhausen,48.128304,11.599005,Entire home/apt,35.0,60,0,1,295,0,Low price,Long term,Private host
4817,Obergiesing,48.1154,11.57746,Entire home/apt,66.0,1,2,9,357,2,Low price,Long term,Commercial host
4818,Schwabing-Freimann,48.16652,11.59288,Private room,70.0,1,1,2,131,1,Low price,Medium term,Commercial host
4819,Ludwigsvorstadt-Isarvorstadt,48.12936,11.57515,Entire home/apt,131.0,3,0,1,93,0,Middle price,Medium term,Private host
4820,Sendling,48.11445,11.54882,Entire home/apt,74.0,1,2,9,364,2,Low price,Long term,Commercial host
4821,Obergiesing,48.11326,11.5782,Entire home/apt,71.0,1,2,9,364,2,Low price,Long term,Commercial host
4822,Obergiesing,48.11458,11.5776,Entire home/apt,71.0,1,1,9,360,1,Low price,Long term,Commercial host
4823,Obergiesing,48.11323,11.5798,Entire home/apt,72.0,1,0,9,359,0,Low price,Long term,Commercial host
4824,Obergiesing,48.11377,11.5794,Entire home/apt,56.0,1,1,9,353,1,Low price,Long term,Commercial host
4825,Hadern,48.11944,11.48523,Private room,22.0,13,0,1,54,0,Low price,Short term,Private host
